gid:0, code:000001, symbol:平安银行 
gid:47100, code:002011, symbol:盾安环境 
gid:47200, code:002012, symbol:凯恩股份 
gid:47300, code:002013, symbol:中航机电 
gid:47400, code:002014, symbol:永新股份 
gid:47500, code:002015, symbol:霞客环保 
gid:47600, code:002016, symbol:世荣兆业 
gid:47700, code:002017, symbol:东信和平 
gid:47800, code:002018, symbol:华信国际 
gid:47900, code:002019, symbol:亿帆医药 
gid:48000, code:002020, symbol:京新药业 
gid:48100, code:002021, symbol:中捷资源 
gid:48200, code:002022, symbol:科华生物 
gid:48300, code:002023, symbol:海特高新 
gid:48400, code:002024, symbol:苏宁云商 
gid:48500, code:002025, symbol:航天电器 
gid:48600, code:002026, symbol:山东威达 
gid:48700, code:002027, symbol:分众传媒 
gid:48800, code:002028, symbol:思源电气 
gid:48900, code:002029, symbol:七 匹 狼 
gid:49000, code:002030, symbol:达安基因 
gid:49100, code:002031, symbol:巨轮智能 
gid:49200, code:002032, symbol:苏 泊 尔 
gid:49300, code:002033, symbol:丽江旅游 
gid:49400, code:002034, symbol:美 欣 达 
gid:49500, code:002035, symbol:华帝股份 
gid:49600, code:002036, symbol:联创电子 
gid:49700, code:002037, symbol:久联发展 
gid:49800, code:002038, symbol:双鹭药业 
gid:49900, code:002039, symbol:黔源电力 
gid:50000, code:002040, symbol:南 京 港 
gid:50100, code:002041, symbol:登海种业 
gid:50200, code:002042, symbol:华孚色纺 
gid:50300, code:002043, symbol:兔 宝 宝 
gid:50400, code:002044, symbol:美年健康 
gid:50500, code:002045, symbol:国光电器 
gid:50600, code:002046, symbol:轴研科技 
gid:50700, code:002047, symbol:宝鹰股份 
gid:50800, code:002048, symbol:宁波华翔 
gid:50900, code:002049, symbol:紫光国芯 
gid:51000, code:002050, symbol:三花智控 
gid:51100, code:002051, symbol:中工国际 
gid:51200, code:002052, symbol:同洲电子 
gid:51300, code:002053, symbol:云南能投 
gid:51400, code:002054, symbol:德美化工 
gid:51500, code:002055, symbol:得润电子 
gid:51600, code:002056, symbol:横店东磁 
gid:51700, code:002057, symbol:中钢天源 
gid:51800, code:002058, symbol:威 尔 泰 
gid:51900, code:002059, symbol:云南旅游 
gid:52000, code:002060, symbol:粤 水 电 
gid:52100, code:002061, symbol:江山化工 
gid:52200, code:002062, symbol:宏润建设 
gid:52300, code:002063, symbol:远光软件 
gid:52400, code:002064, symbol:华峰氨纶 
gid:52500, code:002065, symbol:东华软件 
gid:52600, code:002066, symbol:瑞泰科技 
gid:52700, code:002067, symbol:景兴纸业 
gid:52800, code:002068, symbol:黑猫股份 
gid:52900, code:002069, symbol:獐子岛 
gid:53000, code:002070, symbol:*ST众和 
gid:53100, code:002071, symbol:长城影视 
gid:53200, code:002072, symbol:凯瑞德 
gid:53300, code:002073, symbol:软控股份 
gid:53400, code:002074, symbol:国轩高科 
gid:53500, code:002075, symbol:沙钢股份 
gid:53600, code:002076, symbol:雪 莱 特 
gid:53700, code:002077, symbol:大港股份 
gid:53800, code:002078, symbol:太阳纸业 
gid:53900, code:002079, symbol:苏州固锝 
gid:54000, code:002080, symbol:中材科技 
gid:54100, code:002081, symbol:金 螳 螂 
gid:54200, code:002082, symbol:栋梁新材 
gid:54300, code:002083, symbol:孚日股份 
gid:54400, code:002084, symbol:海鸥卫浴 
gid:54500, code:002085, symbol:万丰奥威 
gid:54600, code:002086, symbol:东方海洋 
gid:54700, code:002087, symbol:新野纺织 
gid:54800, code:002088, symbol:鲁阳节能 
gid:54900, code:002089, symbol:新 海 宜 
gid:55000, code:002090, symbol:金智科技 
gid:55100, code:002091, symbol:江苏国泰 
gid:55200, code:002092, symbol:中泰化学 
gid:55300, code:002093, symbol:国脉科技 
gid:55400, code:002094, symbol:青岛金王 
gid:55500, code:002095, symbol:生 意 宝 
gid:55600, code:002096, symbol:南岭民爆 
gid:55700, code:002097, symbol:山河智能 
gid:55800, code:002098, symbol:浔兴股份 
gid:55900, code:002099, symbol:海翔药业 
gid:56000, code:002100, symbol:天康生物 
gid:56100, code:002101, symbol:广东鸿图 
gid:56200, code:002102, symbol:冠福股份 
gid:56300, code:002103, symbol:广博股份 
gid:56400, code:002104, symbol:恒宝股份 
gid:56500, code:002105, symbol:信隆健康 
gid:56600, code:002106, symbol:莱宝高科 
gid:56700, code:002107, symbol:沃华医药 
gid:56800, code:002108, symbol:沧州明珠 
gid:56900, code:002109, symbol:兴化股份 
gid:57000, code:002110, symbol:三钢闽光 
gid:57100, code:002111, symbol:威海广泰 
gid:57200, code:002112, symbol:三变科技 
gid:57300, code:002113, symbol:天润数娱 
gid:57400, code:002114, symbol:罗平锌电 
gid:57500, code:002115, symbol:三维通信 
gid:57600, code:002116, symbol:中国海诚 
gid:57700, code:002117, symbol:东港股份 
gid:57800, code:002118, symbol:紫鑫药业 
gid:57900, code:002119, symbol:康强电子 
gid:58000, code:002120, symbol:韵达股份 
gid:58100, code:002121, symbol:科陆电子 
gid:58200, code:002122, symbol:天马股份 
gid:58300, code:002123, symbol:梦网荣信 
gid:58400, code:002124, symbol:天邦股份 
gid:58500, code:002125, symbol:湘潭电化 
gid:58600, code:002126, symbol:银轮股份 
gid:58700, code:002127, symbol:南极电商 
gid:58800, code:002128, symbol:露天煤业 
gid:58900, code:002129, symbol:中环股份 
gid:59000, code:002130, symbol:沃尔核材 
gid:59100, code:002131, symbol:利欧股份 
gid:59200, code:002132, symbol:恒星科技 
gid:59300, code:002133, symbol:广宇集团 
gid:59400, code:002134, symbol:*ST普林 
gid:59500, code:002135, symbol:东南网架 
gid:59600, code:002136, symbol:安 纳 达 
gid:59700, code:002137, symbol:麦达数字 
gid:59800, code:002138, symbol:顺络电子 
gid:59900, code:002139, symbol:拓邦股份 
gid:60000, code:002140, symbol:东华科技 
gid:60100, code:002141, symbol:贤丰控股 
